repoName,granularity,clone_type,language,reposType,nb_fragment,repo,repoName_path,total_sloc,normalization_occs
CeNiN,Block,type 1,csharp,Deep Learning,28,CeNiN,b-repositories/DL/csharp/CeNiN,1438,0.019471488178025034
CeNiN,Function,type 1,csharp,Deep Learning,8,CeNiN,b-repositories/DL/csharp/CeNiN,1438,0.005563282336578581
ConvNetSharp,Block,type 1,csharp,Deep Learning,480,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.02888086642599278
ConvNetSharp,Function,type 1,csharp,Deep Learning,142,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.008543922984356198
DeepDriver,Block,type 1,java,Deep Learning,2333,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.07230745389741206
DeepDriver,Function,type 1,java,Deep Learning,1163,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.036045250271191695
FaceONNX,Block,type 1,csharp,Deep Learning,247,FaceONNX,b-repositories/DL/csharp/FaceONNX,2263,0.10914714980114892
FaceONNX,Function,type 1,csharp,Deep Learning,202,FaceONNX,b-repositories/DL/csharp/FaceONNX,2263,0.08926204153778171
KelpNet,Block,type 1,csharp,Deep Learning,191,KelpNet,b-repositories/DL/csharp/KelpNet,21045,0.009075789973865525
KelpNet,Function,type 1,csharp,Deep Learning,68,KelpNet,b-repositories/DL/csharp/KelpNet,21045,0.0032311712995961037
Keras.NET,Block,type 1,csharp,Deep Learning,76,Keras.NET,b-repositories/DL/csharp/Keras.NET,5454,0.013934726806013934
MyCaffe,Block,type 1,csharp,Deep Learning,6785,MyCaffe,b-repositories/DL/csharp/MyCaffe,180353,0.03762066613807367
MyCaffe,Function,type 1,csharp,Deep Learning,1433,MyCaffe,b-repositories/DL/csharp/MyCaffe,180353,0.007945529045815705
NeuralNetwork.NET,Block,type 1,csharp,Deep Learning,131,NeuralNetwork.NET,b-repositories/DL/csharp/NeuralNetwork.NET,12201,0.010736824850422096
NeuralNetwork.NET,Function,type 1,csharp,Deep Learning,24,NeuralNetwork.NET,b-repositories/DL/csharp/NeuralNetwork.NET,12201,0.001967051880993361
RNNSharp,Block,type 1,csharp,Deep Learning,108,RNNSharp,b-repositories/DL/csharp/RNNSharp,6316,0.017099430018999367
RNNSharp,Function,type 1,csharp,Deep Learning,7,RNNSharp,b-repositories/DL/csharp/RNNSharp,6316,0.0011082963901203294
SANNet,Block,type 1,java,Deep Learning,490,SANNet,b-repositories/DL/java/SANNet,16172,0.030299282710858272
SANNet,Function,type 1,java,Deep Learning,237,SANNet,b-repositories/DL/java/SANNet,16172,0.014654959188721247
Seq2SeqSharp,Block,type 1,csharp,Deep Learning,391,Seq2SeqSharp,b-repositories/DL/csharp/Seq2SeqSharp,18088,0.021616541353383457
Seq2SeqSharp,Function,type 1,csharp,Deep Learning,51,Seq2SeqSharp,b-repositories/DL/csharp/Seq2SeqSharp,18088,0.002819548872180451
SharpNet,Block,type 1,csharp,Deep Learning,97,SharpNet,b-repositories/DL/csharp/SharpNet,27593,0.0035153843366071105
SharpNet,Function,type 1,csharp,Deep Learning,19,SharpNet,b-repositories/DL/csharp/SharpNet,27593,0.0006885804370673721
SiaNet,Block,type 1,csharp,Deep Learning,32365,SiaNet,b-repositories/DL/csharp/SiaNet,248467,0.1302587466343619
SiaNet,Function,type 1,csharp,Deep Learning,23558,SiaNet,b-repositories/DL/csharp/SiaNet,248467,0.0948133957426942
TensorShader,Block,type 1,csharp,Deep Learning,1257,TensorShader,b-repositories/DL/csharp/TensorShader,149199,0.008424989443628978
TensorShader,Function,type 1,csharp,Deep Learning,553,TensorShader,b-repositories/DL/csharp/TensorShader,149199,0.0037064591585734487
Vortex,Block,type 1,csharp,Deep Learning,109,Vortex,b-repositories/DL/csharp/Vortex,5769,0.01889408909689721
Vortex,Function,type 1,csharp,Deep Learning,28,Vortex,b-repositories/DL/csharp/Vortex,5769,0.004853527474432311
deeplearning4j,Block,type 1,java,Deep Learning,17830,deeplearning4j,b-repositories/DL/java/deeplearning4j,526195,0.03388477655621965
deeplearning4j,Function,type 1,java,Deep Learning,6735,deeplearning4j,b-repositories/DL/java/deeplearning4j,526195,0.012799437470899571
djl,Block,type 1,java,Deep Learning,1198,djl,b-repositories/DL/java/djl,74161,0.01615404323026928
djl,Function,type 1,java,Deep Learning,443,djl,b-repositories/DL/java/djl,74161,0.00597349010935667
keras-sharp,Block,type 1,csharp,Deep Learning,112,keras-sharp,b-repositories/DL/csharp/keras-sharp,10751,0.010417635568784299
knime-deeplearning,Block,type 1,java,Deep Learning,1862,knime-deeplearning,b-repositories/DL/java/knime-deeplearning,49445,0.037658003842653456
knime-deeplearning,Function,type 1,java,Deep Learning,1329,knime-deeplearning,b-repositories/DL/java/knime-deeplearning,49445,0.026878349681464252
neuralnetworks,Block,type 1,java,Deep Learning,7341,neuralnetworks,b-repositories/DL/java/neuralnetworks,43902,0.16721333880005468
neuralnetworks,Function,type 1,java,Deep Learning,3216,neuralnetworks,b-repositories/DL/java/neuralnetworks,43902,0.07325406587399207
