repoName,granularity,clone_type,language,reposType,nb_fragment,repo,repoName_path,total_sloc,normalization_occs
CeNiN,Block,type 2,csharp,Deep Learning,10,CeNiN,b-repositories/DL/csharp/CeNiN,1438,0.006954102920723227
ConvNetSharp,Block,type 2,csharp,Deep Learning,398,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.02394705174488568
ConvNetSharp,Function,type 2,csharp,Deep Learning,256,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,16620,0.015403128760529482
DeepDriver,Block,type 2,java,Deep Learning,1433,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.04441345110801178
DeepDriver,Function,type 2,java,Deep Learning,614,DeepDriver,b-repositories/DL/java/DeepDriver,32265,0.019029908569657524
FaceONNX,Block,type 2,csharp,Deep Learning,16,FaceONNX,b-repositories/DL/csharp/FaceONNX,2263,0.007070260715863898
KelpNet,Block,type 2,csharp,Deep Learning,473,KelpNet,b-repositories/DL/csharp/KelpNet,21045,0.022475647422190544
KelpNet,Function,type 2,csharp,Deep Learning,251,KelpNet,b-repositories/DL/csharp/KelpNet,21045,0.011926823473509146
Keras.NET,Block,type 2,csharp,Deep Learning,250,Keras.NET,b-repositories/DL/csharp/Keras.NET,5454,0.04583791712504584
Keras.NET,Function,type 2,csharp,Deep Learning,20,Keras.NET,b-repositories/DL/csharp/Keras.NET,5454,0.003667033370003667
MyCaffe,Block,type 2,csharp,Deep Learning,14159,MyCaffe,b-repositories/DL/csharp/MyCaffe,180353,0.07850714986720488
MyCaffe,Function,type 2,csharp,Deep Learning,8147,MyCaffe,b-repositories/DL/csharp/MyCaffe,180353,0.045172522774780566
NeuralNetwork.NET,Block,type 2,csharp,Deep Learning,192,NeuralNetwork.NET,b-repositories/DL/csharp/NeuralNetwork.NET,12201,0.01573641504794689
NeuralNetwork.NET,Function,type 2,csharp,Deep Learning,58,NeuralNetwork.NET,b-repositories/DL/csharp/NeuralNetwork.NET,12201,0.004753708712400623
RNNSharp,Block,type 2,csharp,Deep Learning,220,RNNSharp,b-repositories/DL/csharp/RNNSharp,6316,0.03483217226092464
RNNSharp,Function,type 2,csharp,Deep Learning,47,RNNSharp,b-repositories/DL/csharp/RNNSharp,6316,0.007441418619379354
SANNet,Block,type 2,java,Deep Learning,688,SANNet,b-repositories/DL/java/SANNet,16172,0.04254266633687855
SANNet,Function,type 2,java,Deep Learning,628,SANNet,b-repositories/DL/java/SANNet,16172,0.03883255008656938
Seq2SeqSharp,Block,type 2,csharp,Deep Learning,684,Seq2SeqSharp,b-repositories/DL/csharp/Seq2SeqSharp,18088,0.037815126050420166
Seq2SeqSharp,Function,type 2,csharp,Deep Learning,293,Seq2SeqSharp,b-repositories/DL/csharp/Seq2SeqSharp,18088,0.016198584697036708
SharpNet,Block,type 2,csharp,Deep Learning,478,SharpNet,b-repositories/DL/csharp/SharpNet,27593,0.01732323415358968
SharpNet,Function,type 2,csharp,Deep Learning,290,SharpNet,b-repositories/DL/csharp/SharpNet,27593,0.010509911934186206
SiaNet,Block,type 2,csharp,Deep Learning,23289,SiaNet,b-repositories/DL/csharp/SiaNet,248467,0.09373075700193587
SiaNet,Function,type 2,csharp,Deep Learning,19853,SiaNet,b-repositories/DL/csharp/SiaNet,248467,0.0799019588114317
TensorShader,Block,type 2,csharp,Deep Learning,2652,TensorShader,b-repositories/DL/csharp/TensorShader,149199,0.0177749180624535
TensorShader,Function,type 2,csharp,Deep Learning,1621,TensorShader,b-repositories/DL/csharp/TensorShader,149199,0.010864684079652008
Vortex,Block,type 2,csharp,Deep Learning,145,Vortex,b-repositories/DL/csharp/Vortex,5769,0.025134338706881608
Vortex,Function,type 2,csharp,Deep Learning,123,Vortex,b-repositories/DL/csharp/Vortex,5769,0.021320852834113363
deeplearning4j,Block,type 2,java,Deep Learning,21181,deeplearning4j,b-repositories/DL/java/deeplearning4j,526195,0.04025313809519285
deeplearning4j,Function,type 2,java,Deep Learning,15575,deeplearning4j,b-repositories/DL/java/deeplearning4j,526195,0.029599293037752165
djl,Block,type 2,java,Deep Learning,1864,djl,b-repositories/DL/java/djl,74161,0.02513450465878292
djl,Function,type 2,java,Deep Learning,1200,djl,b-repositories/DL/java/djl,74161,0.016181011582907457
keras-sharp,Block,type 2,csharp,Deep Learning,273,keras-sharp,b-repositories/DL/csharp/keras-sharp,10751,0.02539298669891173
keras-sharp,Function,type 2,csharp,Deep Learning,144,keras-sharp,b-repositories/DL/csharp/keras-sharp,10751,0.013394102874151242
knime-deeplearning,Block,type 2,java,Deep Learning,2108,knime-deeplearning,b-repositories/DL/java/knime-deeplearning,49445,0.042633228840125395
knime-deeplearning,Function,type 2,java,Deep Learning,1361,knime-deeplearning,b-repositories/DL/java/knime-deeplearning,49445,0.0275255334209728
neuralnetworks,Block,type 2,java,Deep Learning,16250,neuralnetworks,b-repositories/DL/java/neuralnetworks,43902,0.370142590314792
neuralnetworks,Function,type 2,java,Deep Learning,11665,neuralnetworks,b-repositories/DL/java/neuralnetworks,43902,0.2657054348321261
