repoName,granularity,clone_type,language,nb_fragment,repo,repoName_path,reposType,total_sloc,normalization_occs
CeNiN,Block,type 3,csharp,6,CeNiN,b-repositories/DL/csharp/CeNiN,Deep Learning,1438,0.004172461752433936
CeNiN,Function,type 3,csharp,4,CeNiN,b-repositories/DL/csharp/CeNiN,Deep Learning,1438,0.0027816411682892906
ConvNetSharp,Block,type 3,csharp,388,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,Deep Learning,16620,0.023345367027677498
ConvNetSharp,Function,type 3,csharp,247,ConvNetSharp,b-repositories/DL/csharp/ConvNetSharp,Deep Learning,16620,0.014861612515042118
DeepDriver,Block,type 3,java,1084,DeepDriver,b-repositories/DL/java/DeepDriver,Deep Learning,32265,0.033596776693011005
DeepDriver,Function,type 3,java,547,DeepDriver,b-repositories/DL/java/DeepDriver,Deep Learning,32265,0.016953355028668834
FaceONNX,Block,type 3,csharp,32,FaceONNX,b-repositories/DL/csharp/FaceONNX,Deep Learning,2263,0.014140521431727796
FaceONNX,Function,type 3,csharp,27,FaceONNX,b-repositories/DL/csharp/FaceONNX,Deep Learning,2263,0.011931064958020326
KelpNet,Block,type 3,csharp,326,KelpNet,b-repositories/DL/csharp/KelpNet,Deep Learning,21045,0.015490615348063673
KelpNet,Function,type 3,csharp,133,KelpNet,b-repositories/DL/csharp/KelpNet,Deep Learning,21045,0.006319790924210026
Keras.NET,Block,type 3,csharp,160,Keras.NET,b-repositories/DL/csharp/Keras.NET,Deep Learning,5454,0.029336266960029337
Keras.NET,Function,type 3,csharp,49,Keras.NET,b-repositories/DL/csharp/Keras.NET,Deep Learning,5454,0.008984231756508984
MyCaffe,Block,type 3,csharp,4576,MyCaffe,b-repositories/DL/csharp/MyCaffe,Deep Learning,180353,0.025372464001153294
MyCaffe,Function,type 3,csharp,2616,MyCaffe,b-repositories/DL/csharp/MyCaffe,Deep Learning,180353,0.01450488763702295
NeuralNetwork.NET,Block,type 3,csharp,228,NeuralNetwork.NET,b-repositories/DL/csharp/NeuralNetwork.NET,Deep Learning,12201,0.01868699286943693
NeuralNetwork.NET,Function,type 3,csharp,119,NeuralNetwork.NET,b-repositories/DL/csharp/NeuralNetwork.NET,Deep Learning,12201,0.009753298909925417
RNNSharp,Block,type 3,csharp,139,RNNSharp,b-repositories/DL/csharp/RNNSharp,Deep Learning,6316,0.02200759974667511
RNNSharp,Function,type 3,csharp,34,RNNSharp,b-repositories/DL/csharp/RNNSharp,Deep Learning,6316,0.005383153894870171
SANNet,Block,type 3,java,388,SANNet,b-repositories/DL/java/SANNet,Deep Learning,16172,0.023992085085332675
SANNet,Function,type 3,java,255,SANNet,b-repositories/DL/java/SANNet,Deep Learning,16172,0.015767994063814
Seq2SeqSharp,Block,type 3,csharp,477,Seq2SeqSharp,b-repositories/DL/csharp/Seq2SeqSharp,Deep Learning,18088,0.02637107474568775
Seq2SeqSharp,Function,type 3,csharp,210,Seq2SeqSharp,b-repositories/DL/csharp/Seq2SeqSharp,Deep Learning,18088,0.011609907120743035
SharpNet,Block,type 3,csharp,377,SharpNet,b-repositories/DL/csharp/SharpNet,Deep Learning,27593,0.013662885514442068
SharpNet,Function,type 3,csharp,200,SharpNet,b-repositories/DL/csharp/SharpNet,Deep Learning,27593,0.00724821512702497
SiaNet,Block,type 3,csharp,14874,SiaNet,b-repositories/DL/csharp/SiaNet,Deep Learning,248467,0.05986308040906841
SiaNet,Function,type 3,csharp,12816,SiaNet,b-repositories/DL/csharp/SiaNet,Deep Learning,248467,0.05158029034036713
TensorShader,Block,type 3,csharp,1902,TensorShader,b-repositories/DL/csharp/TensorShader,Deep Learning,149199,0.012748074718999457
TensorShader,Function,type 3,csharp,954,TensorShader,b-repositories/DL/csharp/TensorShader,Deep Learning,149199,0.006394144732873545
Vortex,Block,type 3,csharp,133,Vortex,b-repositories/DL/csharp/Vortex,Deep Learning,5769,0.023054255503553476
Vortex,Function,type 3,csharp,117,Vortex,b-repositories/DL/csharp/Vortex,Deep Learning,5769,0.0202808112324493
deeplearning4j,Block,type 3,java,10132,deeplearning4j,b-repositories/DL/java/deeplearning4j,Deep Learning,526195,0.0192552190727772
deeplearning4j,Function,type 3,java,8102,deeplearning4j,b-repositories/DL/java/deeplearning4j,Deep Learning,526195,0.015397333688081414
djl,Block,type 3,java,1411,djl,b-repositories/DL/java/djl,Deep Learning,74161,0.019026172786235352
djl,Function,type 3,java,896,djl,b-repositories/DL/java/djl,Deep Learning,74161,0.012081821981904235
keras-sharp,Block,type 3,csharp,116,keras-sharp,b-repositories/DL/csharp/keras-sharp,Deep Learning,10751,0.010789693981955168
keras-sharp,Function,type 3,csharp,61,keras-sharp,b-repositories/DL/csharp/keras-sharp,Deep Learning,10751,0.005673890800855734
knime-deeplearning,Block,type 3,java,1111,knime-deeplearning,b-repositories/DL/java/knime-deeplearning,Deep Learning,49445,0.02246941045606229
knime-deeplearning,Function,type 3,java,717,knime-deeplearning,b-repositories/DL/java/knime-deeplearning,Deep Learning,49445,0.014500960663363333
neuralnetworks,Block,type 3,java,3959,neuralnetworks,b-repositories/DL/java/neuralnetworks,Deep Learning,43902,0.09017812400346226
neuralnetworks,Function,type 3,java,2654,neuralnetworks,b-repositories/DL/java/neuralnetworks,Deep Learning,43902,0.06045282675048973
